Compound	Meta_Path	Path_Count	DWPC
DB01148	CbGaD	0.0	0.0
DB01148	CdGuD	0.0	0.0
DB01148	CrCtD	0.0	0.0
DB01148	CtDrD	0.0	0.0
DB01148	CuGdD	0.0	0.0
DB01148	CbGbCtD	0.0	0.0
DB01148	CbGeAlD	39.0	0.004257006305566135
DB01148	CbGiGaD	1.0	0.00028072516650667857
DB01148	CcSEcCtD	93.0	0.003953916581953129
DB01148	CdGdCtD	3.0	0.0018383181928545013
DB01148	CdGuCtD	0.0	0.0
DB01148	CiPCiCtD	0.0	0.0
DB01148	CpDpCtD	0.0	0.0
DB01148	CrCrCtD	0.0	0.0
DB01148	CrCbGaD	0.0	0.0
DB01148	CtDdGdD	0.0	0.0
DB01148	CtDdGuD	0.0	0.0
DB01148	CtDlAlD	0.0	0.0
DB01148	CtDpSpD	0.0	0.0
DB01148	CtDuGdD	0.0	0.0
DB01148	CtDuGuD	0.0	0.0
DB01148	CuGdCtD	1.0	0.0027705750484947143
DB01148	CuGuCtD	2.0	0.0015553832421950518
DB01148	CbGiGiGaD	394.0	0.0026198876468938354
DB01148	CbGpBPpGaD	4935.0	0.00909012417882267
DB01148	CbGpPWpGaD	0.0	0.0
DB01359	CbGaD	0.0	0.0
DB01359	CdGuD	0.0	0.0
DB01359	CrCtD	0.0	0.0
DB01359	CtDrD	0.0	0.0
DB01359	CuGdD	0.0	0.0
DB01359	CbGbCtD	0.0	0.0
DB01359	CbGeAlD	21.0	0.004851167460117993
DB01359	CbGiGaD	4.0	0.002852987705873202
DB01359	CcSEcCtD	163.0	0.007023556941974743
DB01359	CdGdCtD	0.0	0.0
DB01359	CdGuCtD	0.0	0.0
DB01359	CiPCiCtD	0.0	0.0
DB01359	CpDpCtD	0.0	0.0
DB01359	CrCrCtD	0.0	0.0
DB01359	CrCbGaD	0.0	0.0
DB01359	CtDdGdD	0.0	0.0
DB01359	CtDdGuD	0.0	0.0
DB01359	CtDlAlD	5.0	0.005416438574118254
DB01359	CtDpSpD	3.0	0.0018814739067009136
DB01359	CtDuGdD	0.0	0.0
DB01359	CtDuGuD	0.0	0.0
DB01359	CuGdCtD	0.0	0.0
DB01359	CuGuCtD	0.0	0.0
DB01359	CbGiGiGaD	184.0	0.0036436454441099715
DB01359	CbGpBPpGaD	3485.0	0.005464606245702064
DB01359	CbGpPWpGaD	0.0	0.0
DB00246	CbGaD	0.0	0.0
DB00246	CdGuD	0.0	0.0
DB00246	CrCtD	0.0	0.0
DB00246	CtDrD	0.0	0.0
DB00246	CuGdD	0.0	0.0
DB00246	CbGbCtD	13.0	0.002092600319998797
DB00246	CbGeAlD	159.0	0.011661756141265233
DB00246	CbGiGaD	4.0	0.0030572940815299975
DB00246	CcSEcCtD	803.0	0.019929569047542048
DB00246	CdGdCtD	4.0	0.0034246071397983405
DB00246	CdGuCtD	0.0	0.0
DB00246	CiPCiCtD	0.0	0.0
DB00246	CpDpCtD	0.0	0.0
DB00246	CrCrCtD	0.0	0.0
DB00246	CrCbGaD	0.0	0.0
DB00246	CtDdGdD	0.0	0.0
DB00246	CtDdGuD	0.0	0.0
DB00246	CtDlAlD	0.0	0.0
DB00246	CtDpSpD	0.0	0.0
DB00246	CtDuGdD	0.0	0.0
DB00246	CtDuGuD	0.0	0.0
DB00246	CuGdCtD	0.0	0.0
DB00246	CuGuCtD	0.0	0.0
DB00246	CbGiGiGaD	667.0	0.004483391074045598
DB00246	CbGpBPpGaD	23687.0	0.014617051828510808
DB00246	CbGpPWpGaD	0.0	0.0
DB04878	CbGaD	0.0	0.0
DB04878	CdGuD	0.0	0.0
DB04878	CrCtD	0.0	0.0
DB04878	CtDrD	0.0	0.0
DB04878	CuGdD	0.0	0.0
DB04878	CbGbCtD	0.0	0.0
DB04878	CbGeAlD	15.0	0.0038044659939671576
DB04878	CbGiGaD	0.0	0.0
DB04878	CcSEcCtD	0.0	0.0
DB04878	CdGdCtD	0.0	0.0
DB04878	CdGuCtD	0.0	0.0
DB04878	CiPCiCtD	0.0	0.0
DB04878	CpDpCtD	0.0	0.0
DB04878	CrCrCtD	0.0	0.0
DB04878	CrCbGaD	0.0	0.0
DB04878	CtDdGdD	0.0	0.0
DB04878	CtDdGuD	0.0	0.0
DB04878	CtDlAlD	0.0	0.0
DB04878	CtDpSpD	0.0	0.0
DB04878	CtDuGdD	0.0	0.0
DB04878	CtDuGuD	0.0	0.0
DB04878	CuGdCtD	0.0	0.0
DB04878	CuGuCtD	0.0	0.0
DB04878	CbGiGiGaD	151.0	0.0024022966080419514
DB04878	CbGpBPpGaD	195.0	0.0012878492356698077
DB04878	CbGpPWpGaD	0.0	0.0
DB06589	CbGaD	0.0	0.0
DB06589	CdGuD	0.0	0.0
DB06589	CrCtD	0.0	0.0
DB06589	CtDrD	0.0	0.0
DB06589	CuGdD	0.0	0.0
DB06589	CbGbCtD	23.0	0.004620194539223606
DB06589	CbGeAlD	196.0	0.010905353212701937
DB06589	CbGiGaD	35.0	0.010129009248040149
DB06589	CcSEcCtD	590.0	0.021258351473084934
DB06589	CdGdCtD	56.0	0.026771674033914495
DB06589	CdGuCtD	20.0	0.016208621532485472
DB06589	CiPCiCtD	0.0	0.0
DB06589	CpDpCtD	0.0	0.0
DB06589	CrCrCtD	0.0	0.0
DB06589	CrCbGaD	0.0	0.0
DB06589	CtDdGdD	0.0	0.0
DB06589	CtDdGuD	0.0	0.0
DB06589	CtDlAlD	0.0	0.0
DB06589	CtDpSpD	3.0	0.003444213163413865
DB06589	CtDuGdD	0.0	0.0
DB06589	CtDuGuD	0.0	0.0
DB06589	CuGdCtD	26.0	0.015254376681665656
DB06589	CuGuCtD	28.0	0.01724628447643299
DB06589	CbGiGiGaD	4286.0	0.022621331362452406
DB06589	CbGpBPpGaD	40452.0	0.048988501779024786
DB06589	CbGpPWpGaD	0.0	0.0
DB00133	CbGaD	0.0	0.0
DB00133	CdGuD	0.0	0.0
DB00133	CrCtD	0.0	0.0
DB00133	CtDrD	0.0	0.0
DB00133	CuGdD	0.0	0.0
DB00133	CbGbCtD	0.0	0.0
DB00133	CbGeAlD	37.0	0.006280546807612226
DB00133	CbGiGaD	2.0	0.0010200312736650657
DB00133	CcSEcCtD	0.0	0.0
DB00133	CdGdCtD	0.0	0.0
DB00133	CdGuCtD	0.0	0.0
DB00133	CiPCiCtD	0.0	0.0
DB00133	CpDpCtD	0.0	0.0
DB00133	CrCrCtD	0.0	0.0
DB00133	CrCbGaD	0.0	0.0
DB00133	CtDdGdD	0.0	0.0
DB00133	CtDdGuD	0.0	0.0
DB00133	CtDlAlD	0.0	0.0
DB00133	CtDpSpD	0.0	0.0
DB00133	CtDuGdD	0.0	0.0
DB00133	CtDuGuD	0.0	0.0
DB00133	CuGdCtD	0.0	0.0
DB00133	CuGuCtD	0.0	0.0
DB00133	CbGiGiGaD	477.0	0.004719643867871286
DB00133	CbGpBPpGaD	1385.0	0.010078925603648592
DB00133	CbGpPWpGaD	0.0	0.0
DB00972	CbGaD	0.0	0.0
DB00972	CdGuD	0.0	0.0
DB00972	CrCtD	0.0	0.0
DB00972	CtDrD	0.0	0.0
DB00972	CuGdD	0.0	0.0
DB00972	CbGbCtD	29.0	0.008297716285070837
DB00972	CbGeAlD	48.0	0.0015549963994551678
DB00972	CbGiGaD	4.0	0.0008352121461445872
DB00972	CcSEcCtD	401.0	0.012066317257950083
DB00972	CdGdCtD	13.0	0.005461825401615211
DB00972	CdGuCtD	3.0	0.004285167058227674
DB00972	CiPCiCtD	0.0	0.0
DB00972	CpDpCtD	0.0	0.0
DB00972	CrCrCtD	0.0	0.0
DB00972	CrCbGaD	0.0	0.0
DB00972	CtDdGdD	0.0	0.0
DB00972	CtDdGuD	0.0	0.0
DB00972	CtDlAlD	0.0	0.0
DB00972	CtDpSpD	0.0	0.0
DB00972	CtDuGdD	0.0	0.0
DB00972	CtDuGuD	0.0	0.0
DB00972	CuGdCtD	2.0	0.0014695470830107
DB00972	CuGuCtD	19.0	0.01236860412431643
DB00972	CbGiGiGaD	464.0	0.0011350921873234895
DB00972	CbGpBPpGaD	4522.0	0.005299314186766778
DB00972	CbGpPWpGaD	0.0	0.0
DB00322	CbGaD	0.0	0.0
DB00322	CdGuD	0.0	0.0
DB00322	CrCtD	1.0	0.03978193750752136
DB00322	CtDrD	0.0	0.0
DB00322	CuGdD	0.0	0.0
DB00322	CbGbCtD	1.0	0.0033256049783710177
DB00322	CbGeAlD	12.0	0.0016227314134114647
DB00322	CbGiGaD	2.0	0.0013954261836524064
DB00322	CcSEcCtD	299.0	0.010813199552093197
DB00322	CdGdCtD	101.0	0.04141921139926698
DB00322	CdGuCtD	6.0	0.0021388478537164
DB00322	CiPCiCtD	0.0	0.0
DB00322	CpDpCtD	0.0	0.0
DB00322	CrCrCtD	5.0	0.033595371933554656
DB00322	CrCbGaD	2.0	0.002449292096902206
DB00322	CtDdGdD	0.0	0.0
DB00322	CtDdGuD	0.0	0.0
DB00322	CtDlAlD	0.0	0.0
DB00322	CtDpSpD	3.0	0.006892696349414932
DB00322	CtDuGdD	0.0	0.0
DB00322	CtDuGuD	0.0	0.0
DB00322	CuGdCtD	13.0	0.00715181945601408
DB00322	CuGuCtD	43.0	0.032479559746079224
DB00322	CbGiGiGaD	158.0	0.0015439900532131286
DB00322	CbGpBPpGaD	884.0	0.004253163573216562
DB00322	CbGpPWpGaD	0.0	0.0
DB00833	CbGaD	1.0	0.015201174813093025
DB00833	CdGuD	0.0	0.0
DB00833	CrCtD	0.0	0.0
DB00833	CtDrD	0.0	0.0
DB00833	CuGdD	0.0	0.0
DB00833	CbGbCtD	0.0	0.0
DB00833	CbGeAlD	12.0	0.0008867901419786482
DB00833	CbGiGaD	0.0	0.0
DB00833	CcSEcCtD	527.0	0.01352215253653099
DB00833	CdGdCtD	0.0	0.0
DB00833	CdGuCtD	0.0	0.0
DB00833	CiPCiCtD	0.0	0.0
DB00833	CpDpCtD	0.0	0.0
DB00833	CrCrCtD	0.0	0.0
DB00833	CrCbGaD	19.0	0.014546557739241524
DB00833	CtDdGdD	0.0	0.0
DB00833	CtDdGuD	0.0	0.0
DB00833	CtDlAlD	0.0	0.0
DB00833	CtDpSpD	0.0	0.0
DB00833	CtDuGdD	0.0	0.0
DB00833	CtDuGuD	0.0	0.0
DB00833	CuGdCtD	0.0	0.0
DB00833	CuGuCtD	2.0	0.008481885758207032
DB00833	CbGiGiGaD	6.0	0.0014767610239283544
DB00833	CbGpBPpGaD	854.0	0.0037410190707955755
DB00833	CbGpPWpGaD	0.0	0.0
DB00748	CbGaD	0.0	0.0
DB00748	CdGuD	0.0	0.0
DB00748	CrCtD	0.0	0.0
DB00748	CtDrD	0.0	0.0
DB00748	CuGdD	0.0	0.0
DB00748	CbGbCtD	18.0	0.0066457775848593565
DB00748	CbGeAlD	20.0	0.0005374755400148657
DB00748	CbGiGaD	2.0	0.0008730144322747161
DB00748	CcSEcCtD	233.0	0.007631919721002714
DB00748	CdGdCtD	40.0	0.02100853159929212
DB00748	CdGuCtD	4.0	0.003460300584872551
DB00748	CiPCiCtD	0.0	0.0
DB00748	CpDpCtD	0.0	0.0
DB00748	CrCrCtD	0.0	0.0
DB00748	CrCbGaD	3.0	0.00039955179087065683
DB00748	CtDdGdD	0.0	0.0
DB00748	CtDdGuD	0.0	0.0
DB00748	CtDlAlD	0.0	0.0
DB00748	CtDpSpD	0.0	0.0
DB00748	CtDuGdD	0.0	0.0
DB00748	CtDuGuD	0.0	0.0
DB00748	CuGdCtD	2.0	0.002657811230724302
DB00748	CuGuCtD	2.0	0.0007242003613015212
DB00748	CbGiGiGaD	232.0	0.0005943692563514764
DB00748	CbGpBPpGaD	1140.0	0.0022431581982468025
DB00748	CbGpPWpGaD	0.0	0.0
DB00318	CbGaD	0.0	0.0
DB00318	CdGuD	0.0	0.0
DB00318	CrCtD	0.0	0.0
DB00318	CtDrD	0.0	0.0
DB00318	CuGdD	0.0	0.0
DB00318	CbGbCtD	14.0	0.004673554538357679
DB00318	CbGeAlD	24.0	0.0012958627248817328
DB00318	CbGiGaD	0.0	0.0
DB00318	CcSEcCtD	415.0	0.011957334449697633
DB00318	CdGdCtD	0.0	0.0
DB00318	CdGuCtD	0.0	0.0
DB00318	CiPCiCtD	0.0	0.0
DB00318	CpDpCtD	2.0	0.014971744696954678
DB00318	CrCrCtD	0.0	0.0
DB00318	CrCbGaD	1.0	0.0007419999017051347
DB00318	CtDdGdD	0.0	0.0
DB00318	CtDdGuD	0.0	0.0
DB00318	CtDlAlD	0.0	0.0
DB00318	CtDpSpD	0.0	0.0
DB00318	CtDuGdD	0.0	0.0
DB00318	CtDuGuD	0.0	0.0
DB00318	CuGdCtD	0.0	0.0
DB00318	CuGuCtD	0.0	0.0
DB00318	CbGiGiGaD	278.0	0.0020023418375165556
DB00318	CbGpBPpGaD	4371.0	0.0056567022699283015
DB00318	CbGpPWpGaD	0.0	0.0
DB00666	CbGaD	0.0	0.0
DB00666	CdGuD	0.0	0.0
DB00666	CrCtD	0.0	0.0
DB00666	CtDrD	0.0	0.0
