Abbrev.	Metapath	meta_query
CbGaD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
CdGuD	(c:Compound)-[:DOWNREGULATES_CdG]-(Gene)-[:UPREGULATES_CuG]-(d:Disease)	(n0:Compound)-[:DOWNREGULATES_CdG]-(n%s)-[:UPREGULATES_CuG]-(n%s:Disease)
CrCtD	(c:Compound)-[:RESEMBLES_CrC]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:RESEMBLES_CrC]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CtDrD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:RESEMBLES_CrC]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:RESEMBLES_CrC]-(n%s:Disease)
CuGdD	(c:Compound)-[:UPREGULATES_CuG]-(Gene)-[:DOWNREGULATES_CdG]-(d:Disease)	(n0:Compound)-[:UPREGULATES_CuG]-(n%s)-[:DOWNREGULATES_CdG]-(n%s:Disease)
CbGbCtD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:BINDS_CbG]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:BINDS_CbG]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CbGeAlD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:EXPRESSES_AeG]-(Anatomy)-[:LOCALIZES_DlA]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:EXPRESSES_AeG]-(n%s)-[:LOCALIZES_DlA]-(n%s:Disease)
CbGiGaD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:INTERACTS_GiG]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:INTERACTS_GiG]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
CcSEcCtD	(c:Compound)-[:CAUSES_CcSE]-(SideEffect)-[:CAUSES_CcSE]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:CAUSES_CcSE]-(n%s)-[:CAUSES_CcSE]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CdGdCtD	(c:Compound)-[:DOWNREGULATES_CdG]-(Gene)-[:DOWNREGULATES_CdG]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:DOWNREGULATES_CdG]-(n%s)-[:DOWNREGULATES_CdG]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CdGuCtD	(c:Compound)-[:DOWNREGULATES_CdG]-(Gene)-[:UPREGULATES_CuG]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:DOWNREGULATES_CdG]-(n%s)-[:UPREGULATES_CuG]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CiPCiCtD	(c:Compound)-[:INCLUDES_PCiC]-(PharmacologicClass)-[:INCLUDES_PCiC]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:INCLUDES_PCiC]-(n%s)-[:INCLUDES_PCiC]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CpDpCtD	(c:Compound)-[:PALLIATES_CpD]-(Disease)-[:PALLIATES_CpD]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:PALLIATES_CpD]-(n%s)-[:PALLIATES_CpD]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CrCrCtD	(c:Compound)-[:RESEMBLES_CrC]-(Compound)-[:RESEMBLES_CrC]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:RESEMBLES_CrC]-(n%s)-[:RESEMBLES_CrC]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CrCbGaD	(c:Compound)-[:RESEMBLES_CrC]-(Compound)-[:BINDS_CbG]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:RESEMBLES_CrC]-(n%s)-[:BINDS_CbG]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
CtDdGdD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:DOWNREGULATES_CdG]-(Gene)-[:DOWNREGULATES_CdG]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:DOWNREGULATES_CdG]-(n%s)-[:DOWNREGULATES_CdG]-(n%s:Disease)
CtDdGuD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:DOWNREGULATES_CdG]-(Gene)-[:UPREGULATES_CuG]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:DOWNREGULATES_CdG]-(n%s)-[:UPREGULATES_CuG]-(n%s:Disease)
CtDlAlD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:LOCALIZES_DlA]-(Anatomy)-[:LOCALIZES_DlA]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:LOCALIZES_DlA]-(n%s)-[:LOCALIZES_DlA]-(n%s:Disease)
CtDpSpD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:PRESENTS_DpS]-(Symptom)-[:PRESENTS_DpS]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:PRESENTS_DpS]-(n%s)-[:PRESENTS_DpS]-(n%s:Disease)
CtDuGdD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:UPREGULATES_CuG]-(Gene)-[:DOWNREGULATES_CdG]-(d:d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:UPREGULATES_CuG]-(n%s)-[:DOWNREGULATES_CdG]-(n%s:Disease)
CtDuGuD	(c:Compound)-[:TREATS_CtD]-(Disease)-[:UPREGULATES_CuG]-(Gene)-[:UPREGULATES_CuG]-(d:Disease)	(n0:Compound)-[:TREATS_CtD]-(n%s)-[:UPREGULATES_CuG]-(n%s)-[:UPREGULATES_CuG]-(n%s:Disease)
CuGdCtD	(c:Compound)-[:UPREGULATES_CuG]-(Gene)-[:DOWNREGULATES_CdG]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:UPREGULATES_CuG]-(n%s)-[:DOWNREGULATES_CdG]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CuGuCtD	(c:Compound)-[:UPREGULATES_CuG]-(Gene)-[:UPREGULATES_CuG]-(Compound)-[:TREATS_CtD]-(d:Disease)	(n0:Compound)-[:UPREGULATES_CuG]-(n%s)-[:UPREGULATES_CuG]-(n%s)-[:TREATS_CtD]-(n%s:Disease)
CbGiGiGaD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:INTERACTS_GiG]-(Gene)-[:INTERACTS_GiG]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:INTERACTS_GiG]-(n%s)-[:INTERACTS_GiG]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
CbGpBPpGaD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:PARTICIPATES_GpBP]-(BiologicalProcess)-[:PARTICIPATES_GpBP]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:PARTICIPATES_GpBP]-(n%s)-[:PARTICIPATES_GpBP]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
CbGpPWpGaD	(c:Compound)-[:BINDS_CbG]-(Gene)-[:PARTICIPATES_GpP]-(Pathway)-[:PARTICIPATES_GpP]-(Gene)-[:ASSOCIATES_DaG]-(d:Disease)	(n0:Compound)-[:BINDS_CbG]-(n%s)-[:PARTICIPATES_GpP]-(n%s)-[:PARTICIPATES_GpP]-(n%s)-[:ASSOCIATES_DaG]-(n%s:Disease)
